Strain Rate,Temperature,True Strain,True Stress,True Plastic Strain,Ridge Predicted Stress,RFR Predicted Stress,XGB Predicted Stress,SVR Predicted Stress,ANN Predicted Stress,SGD Predicted Stress
0.001,150,0.00956753,649.8989868,0.000943358,636.4539156,778.3085219,604.98773,620.5749197,621.1286,612.2000551
0.001,150,0.009615184,649.9299927,0.000991012,636.6329225,778.3078394,615.9101,620.7605982,621.23987,612.3913374
0.001,150,0.009629714,649.9411621,0.001005542,636.6875028,778.3075075,614.999,620.8172127,621.27374,612.4496606
0.001,150,0.009645343,649.9553223,0.001021171,636.7462113,778.3066611,610.3654,620.8781093,621.3103,612.5123951
0.001,150,0.009665383,649.9711914,0.001041211,636.8214893,778.3061458,609.75977,620.9561929,621.35706,612.5928353
0.001,150,0.009658513,649.9675903,0.001034341,636.7956829,778.3066611,609.63306,620.9294248,621.34106,612.5652592
0.001,150,0.009697294,649.9882813,0.001073122,636.9413593,778.3028644,603.5906,621.0805306,621.43164,612.7209255
0.001,150,0.009721509,649.992981,0.001097337,637.0323202,778.3023262,610.6962,621.1748816,621.48816,612.818124
0.001,150,0.009728734,649.9940796,0.001104563,637.0594639,778.3023262,610.6962,621.2030369,621.50507,612.8471291
0.001,150,0.009767218,650.0302124,0.001143047,637.2040247,778.3020769,610.57526,621.3529855,621.595,613.0016032
0.001,150,0.009782561,650.057373,0.001158389,637.2616551,778.3023621,615.517,621.4127639,621.63074,613.0631857
0.001,150,0.009796571,650.0877075,0.001172399,637.3142821,778.3028483,615.517,621.4673523,621.6635,613.1194215
0.001,150,0.009819818,650.1239624,0.001195646,637.4016068,778.307389,616.39496,621.5579316,621.7178,613.2127346
0.001,150,0.009840396,650.1484375,0.001216224,637.4789057,778.3100251,603.80334,621.6381115,621.76587,613.2953343
0.001,150,0.009845001,650.1514893,0.001220829,637.4962039,778.3142259,603.80334,621.6560544,621.7766,613.3138187
0.001,150,0.009886912,650.1794434,0.00126274,637.6536378,778.3475557,597.51666,621.8193559,621.87445,613.4820487
