Strain Rate,Temperature,True Strain,True Stress,True Plastic Strain
0.0001,27,0.10736,939.7665,0.00083
0.0001,27,0.10736,939.77015,0.00083
0.0001,27,0.10737,939.7807,0.00084
0.0001,27,0.10737,939.78482,0.00084
0.0001,27,0.10737,939.77913,0.00084
0.0001,27,0.10738,939.78215,0.00085
0.0001,27,0.10738,939.77632,0.00085
0.0001,27,0.10739,939.78183,0.00086
0.0001,27,0.10739,939.78313,0.00086
0.0001,27,0.10739,939.79155,0.00086
0.0001,27,0.1074,939.80171,0.00087
0.0001,27,0.1074,939.80537,0.00087
0.0001,27,0.10741,939.804,0.00088
0.0001,27,0.10741,939.79881,0.00088
0.0001,27,0.10741,939.79574,0.00088
0.0001,27,0.10741,939.79918,0.00088
0.0001,27,0.10741,939.79566,0.00088
0.0001,27,0.10742,939.80186,0.00089
0.0001,27,0.10743,939.80454,0.0009
0.0001,27,0.10743,939.80865,0.0009
0.0001,27,0.10743,939.81013,0.0009
0.0001,27,0.10743,939.80776,0.0009
0.0001,27,0.10744,939.81596,0.00091
0.0001,27,0.10744,939.82013,0.00091
0.0001,27,0.10745,939.80908,0.00092
0.0001,27,0.10745,939.79777,0.00092
0.0001,27,0.10745,939.79315,0.00092
0.0001,27,0.10746,939.80449,0.00093
0.0001,27,0.10746,939.79799,0.00093
0.0001,27,0.10747,939.79791,0.00094
0.0001,27,0.10747,939.80708,0.00094
0.0001,27,0.10747,939.81808,0.00094
0.0001,27,0.10748,939.82352,0.00095
0.0001,27,0.10748,939.82192,0.00095
0.0001,27,0.10748,939.82037,0.00095
0.0001,27,0.10749,939.82223,0.00096
0.0001,27,0.10749,939.82246,0.00096
0.0001,27,0.1075,939.8269,0.00097
0.0001,27,0.1075,939.82651,0.00097
0.0001,27,0.1075,939.83813,0.00097
0.0001,27,0.10751,939.83369,0.00098
0.0001,27,0.10751,939.83447,0.00098
0.0001,27,0.10752,939.83145,0.00099
0.0001,27,0.10752,939.82884,0.00099
0.0001,27,0.10752,939.83409,0.00099
0.0001,27,0.10752,939.83964,0.00099
0.0001,27,0.10753,939.83609,0.001
0.0001,27,0.10753,939.83703,0.001
0.0001,27,0.10753,939.83666,0.001
0.0001,27,0.10754,939.85408,0.00101
0.0001,27,0.10754,939.84774,0.00101
0.0001,27,0.10755,939.8544,0.00102
0.0001,27,0.10755,939.83916,0.00102
0.0001,27,0.10755,939.83227,0.00102
0.0001,27,0.10756,939.83004,0.00103
0.0001,27,0.10756,939.83048,0.00103
0.0001,27,0.10757,939.83907,0.00104
0.0001,27,0.10757,939.83641,0.00104
0.0001,27,0.10757,939.8387,0.00104
0.0001,27,0.10757,939.851,0.00104
0.0001,27,0.10758,939.85345,0.00105
0.0001,27,0.10759,939.85604,0.00106
0.0001,27,0.10759,939.85234,0.00106
